pair,init_seed,noise_seed,perturb_site,short_lam,peak_hamming,time_to_peak,final_hamming,synchronized,arch,model,model_tag,window,temp,L,steps,absorbing,freq_penalty
6,30003,30011,43,0.44793986730701374,43.0,17,0.0,1,masked,bert-base-uncased,bert-base-uncased,,1.0,48,80,0,0.0
7,35003,35011,2,0.4546982699657982,46.0,37,44.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,80,0,0.0
0,3,11,1,0.31061333122350004,15.0,39,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,80,0,0.0
1,5003,5011,8,1.3862943611198906,4.0,1,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,80,0,0.0
2,10003,10011,15,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,80,0,0.0
3,15003,15011,22,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,80,0,0.0
4,20003,20011,29,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,80,0,0.0
5,25003,25011,36,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,80,0,0.0
6,30003,30011,43,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,80,0,0.0
7,35003,35011,2,1.6094379124341003,5.0,1,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,80,0,0.0
0,3,11,1,0.36129646973702056,32.0,29,18.0,0,local,distilroberta-base,distilroberta-base,2,1.0,48,80,0,0.0
1,5003,5011,8,0.36129646973702056,28.0,22,16.0,0,local,distilroberta-base,distilroberta-base,2,1.0,48,80,0,0.0
2,10003,10011,15,0.36129646973702056,28.0,13,22.0,0,local,distilroberta-base,distilroberta-base,2,1.0,48,80,0,0.0
3,15003,15011,22,0.0,28.0,29,27.0,0,local,distilroberta-base,distilroberta-base,2,1.0,48,80,0,0.0
4,20003,20011,29,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,2,1.0,48,80,0,0.0
5,25003,25011,36,0.46209812037329684,4.0,3,0.0,1,local,distilroberta-base,distilroberta-base,2,1.0,48,80,0,0.0
6,30003,30011,43,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,2,1.0,48,80,0,0.0
7,35003,35011,2,0.41197960825054114,27.0,8,24.0,0,local,distilroberta-base,distilroberta-base,2,1.0,48,80,0,0.0
0,3,11,1,0.4579452057662058,48.0,19,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,80,0,0.0
1,5003,5011,8,0.4332169878499658,48.0,18,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,80,0,0.0
2,10003,10011,15,0.40726206725268527,40.0,11,0.0,1,local,distilroberta-base,distilroberta-base,4,1.0,48,80,0,0.0
3,15003,15011,22,0.4407950655770202,48.0,21,47.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,80,0,0.0
4,20003,20011,29,0.4641965083380385,48.0,26,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,80,0,0.0
5,25003,25011,36,0.42091197874830927,48.0,16,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,80,0,0.0
6,30003,30011,43,0.45136473908052804,48.0,35,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,80,0,0.0
7,35003,35011,2,0.3972567287934932,48.0,32,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,80,0,0.0
