pair,init_seed,noise_seed,perturb_site,final_hamming,peak_hamming,time_to_peak,short_lam,late_damage,sustained_zero,sync_time,model,model_tag,arch,window,temp,L,steps,pairs,absorbing
5,25003,25011,36,0.0,4.0,2,0.6931471805599453,0.0,1,16,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
6,30003,30011,43,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
7,35003,35011,2,0.0,30.0,17,0.26390573296152586,0.04662698412698413,1,85,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
8,40003,40011,9,7.0,27.0,67,0.06931471805599453,0.3005952380952381,0,,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
9,45003,45011,16,0.0,4.0,3,0.46209812037329684,0.0,1,7,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
10,50003,50011,23,17.0,27.0,26,0.10986122886681098,0.35615079365079366,0,,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
11,55003,55011,30,0.0,2.0,2,0.34657359027997264,0.0,1,5,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
12,60003,60011,37,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
13,65003,65011,44,17.0,29.0,75,0.10986122886681098,0.3531746031746032,0,,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
14,70003,70011,3,20.0,23.0,6,0.5225823693215249,0.39186507936507936,0,,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
15,75003,75011,10,0.0,2.0,3,0.23104906018664842,0.0,1,6,distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0
0,3,11,1,0.0,21.0,11,0.2772588722239781,0.0,1,23,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
1,5003,5011,8,11.0,24.0,57,0.270805020110221,0.3531746031746032,0,,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
2,10003,10011,15,0.0,4.0,3,0.46209812037329684,0.0,1,23,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
3,15003,15011,22,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
4,20003,20011,29,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
5,25003,25011,36,0.0,5.0,16,0.06931471805599453,0.0,1,52,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
6,30003,30011,43,6.0,23.0,46,0.23978952727983707,0.2648809523809524,0,,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
7,35003,35011,2,14.0,23.0,17,0.2564949357461537,0.30158730158730157,0,,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
8,40003,40011,9,17.0,24.0,90,0.270805020110221,0.3521825396825397,0,,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
9,45003,45011,16,21.0,24.0,92,0.0,0.36408730158730157,0,,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
10,50003,50011,23,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
11,55003,55011,30,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
12,60003,60011,37,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
13,65003,65011,44,0.0,2.0,2,0.34657359027997264,0.0,1,4,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
14,70003,70011,3,0.0,5.0,1,1.6094379124341003,0.0,1,6,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
15,75003,75011,10,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0
0,3,11,1,10.0,22.0,95,0.2564949357461537,0.26785714285714285,0,,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
1,5003,5011,8,0.0,13.0,7,0.36642133678021954,0.0,1,19,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
2,10003,10011,15,0.0,3.0,2,0.5493061443340549,0.0,1,3,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
3,15003,15011,22,0.0,1.0,0,0.0,0.0,1,3,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
4,20003,20011,29,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
6,30003,30011,43,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
7,35003,35011,2,8.0,20.0,69,0.1791759469228055,0.26686507936507936,0,,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
8,40003,40011,9,0.0,4.0,2,0.6931471805599453,0.0,1,5,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
9,45003,45011,16,0.0,3.0,2,0.5493061443340549,0.0,1,6,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
10,50003,50011,23,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
11,55003,55011,30,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
12,60003,60011,37,0.0,3.0,5,0.21972245773362195,0.0,1,12,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
13,65003,65011,44,0.0,4.0,2,0.6931471805599453,0.0,1,12,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
14,70003,70011,3,0.0,22.0,29,0.1791759469228055,0.0,1,70,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
15,75003,75011,10,0.0,2.0,3,0.23104906018664842,0.0,1,7,distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0
