penalty,temp,activity,entropy,live,tau_int,xi
3.0,0.2,0.9998842592592593,3.7609206569261824,0.9808264652014652,0.9288389513108125,1.0
3.0,0.4,0.9998842592592593,4.41432025749411,0.9810554029304028,0.8838951310861435,1.0
3.0,0.6,0.9999421296296297,5.62330334736885,0.9836309523809524,0.4419475655430753,0.5
3.0,0.8,0.9999421296296297,6.304402328614239,0.9881524725274725,0.4419475655430753,0.5
3.0,1.0,1.0,6.491686965774268,0.9908997252747253,0.0,0.0
3.0,1.2,0.9998842592592593,6.554595718153032,0.99444826007326,0.3825757575757588,0.5
3.0,1.4,0.9999421296296297,6.571640906885183,0.9959363553113552,0.44194756554307535,0.5
3.0,1.6,0.9999421296296297,6.578509038753316,0.9975389194139195,0.44194756554307535,0.5
4.0,0.2,0.9999421296296296,3.5262464997536327,0.9680631868131869,0.4419475655430682,0.5
4.0,0.4,0.9999421296296297,4.563784632369048,0.977735805860806,0.44194756554307535,0.5
4.0,0.6,1.0,5.603943870376693,0.9823145604395603,0.0,0.0
4.0,0.8,1.0,6.28936450595338,0.9865499084249085,0.0,0.0
4.0,1.0,1.0,6.49211182715262,0.991929945054945,0.0,0.0
4.0,1.2,1.0,6.551846227538489,0.9947916666666666,0.0,0.0
4.0,1.4,1.0,6.572971327701222,0.9961652930402931,0.0,0.0
4.0,1.6,1.0,6.578437775446433,0.9975389194139195,0.0,0.0
5.0,0.2,1.0,3.643231930132103,0.9654876373626373,0.0,0.0
5.0,0.4,1.0,4.530652110878362,0.9714400183150182,0.0,0.0
5.0,0.6,0.9999421296296297,5.653680935451787,0.9805975274725275,0.44194756554307535,0.5
5.0,0.8,1.0,6.2734871167331985,0.9871794871794872,0.0,0.0
5.0,1.0,1.0,6.490494115241763,0.9918727106227105,0.0,0.0
5.0,1.2,1.0,6.554193958193746,0.9946771978021979,0.0,0.0
5.0,1.4,1.0,6.572856858836753,0.9966231684981686,0.0,0.0
5.0,1.6,1.0,6.577522024530683,0.997596153846154,0.0,0.0
