temp,system,k,mc_k,alpha_k,MC,readout_dim,eff_rank
1.0,shuffled_input,20,0.0,100.0,0.0,368,368
1.0,shuffled_input,21,0.0,100.0,0.0,368,368
1.0,shuffled_input,22,0.0,100.0,0.0,368,368
1.0,shuffled_input,23,0.0,100.0,0.0,368,368
1.0,shuffled_input,24,0.0,100.0,0.0,368,368
1.0,shuffled_input,25,0.0,100.0,0.0,368,368
1.0,shuffled_input,26,0.0,100.0,0.0,368,368
1.0,shuffled_input,27,0.0,100.0,0.0,368,368
1.0,shuffled_input,28,0.0,100.0,0.0,368,368
1.0,shuffled_input,29,0.0,100.0,0.0,368,368
1.0,shuffled_input,30,0.0,100.0,0.0,368,368
1.0,shuffled_input,31,0.0,100.0,0.0,368,368
1.0,shuffled_input,32,0.0,100.0,0.0,368,368
1.0,shuffled_input,33,0.0,100.0,0.0,368,368
1.0,shuffled_input,34,0.0,100.0,0.0,368,368
1.0,shuffled_input,35,0.0,100.0,0.0,368,368
1.0,shuffled_input,36,0.0,100.0,0.0,368,368
1.0,shuffled_input,37,0.0,100.0,0.0,368,368
1.0,shuffled_input,38,0.0,100.0,0.0,368,368
1.0,shuffled_input,39,0.0,100.0,0.0,368,368
1.0,shuffled_input,40,0.0,100.0,0.0,368,368
,linear_esn,0,0.999919490063492,0.1,15.467409818220874,368,
,linear_esn,1,0.9996100233557762,0.1,15.467409818220874,368,
,linear_esn,2,0.9987087071805129,0.1,15.467409818220874,368,
,linear_esn,3,0.9966512859902028,0.1,15.467409818220874,368,
,linear_esn,4,0.9930188762077664,1.0,15.467409818220874,368,
,linear_esn,5,0.985892158999958,1.0,15.467409818220874,368,
,linear_esn,6,0.9772723051302687,1.0,15.467409818220874,368,
,linear_esn,7,0.9649670897456528,1.0,15.467409818220874,368,
,linear_esn,8,0.9431559024201631,1.0,15.467409818220874,368,
,linear_esn,9,0.9195566548893702,1.0,15.467409818220874,368,
,linear_esn,10,0.8943454373870127,1.0,15.467409818220874,368,
,linear_esn,11,0.8643015694602985,1.0,15.467409818220874,368,
,linear_esn,12,0.8094099165881814,1.0,15.467409818220874,368,
,linear_esn,13,0.7450447378455605,10.0,15.467409818220874,368,
,linear_esn,14,0.6961823915829456,1.0,15.467409818220874,368,
,linear_esn,15,0.5564267093191755,1.0,15.467409818220874,368,
,linear_esn,16,0.42296163038808443,1.0,15.467409818220874,368,
,linear_esn,17,0.329616582097336,1.0,15.467409818220874,368,
,linear_esn,18,0.24298836164813953,1.0,15.467409818220874,368,
,linear_esn,19,0.08015909443851232,1.0,15.467409818220874,368,
,linear_esn,20,0.014301644624405974,1.0,15.467409818220874,368,
,linear_esn,21,0.013952079487225544,100.0,15.467409818220874,368,
,linear_esn,22,0.012879649784258929,100.0,15.467409818220874,368,
,linear_esn,23,0.0020443082685588365,100.0,15.467409818220874,368,
,linear_esn,24,0.0010647683367930316,100.0,15.467409818220874,368,
,linear_esn,25,0.0,100.0,15.467409818220874,368,
,linear_esn,26,0.0,100.0,15.467409818220874,368,
,linear_esn,27,0.0,100.0,15.467409818220874,368,
,linear_esn,28,0.0,100.0,15.467409818220874,368,
,linear_esn,29,0.0,100.0,15.467409818220874,368,
,linear_esn,30,0.0,100.0,15.467409818220874,368,
,linear_esn,31,0.0,100.0,15.467409818220874,368,
,linear_esn,32,0.0,100.0,15.467409818220874,368,
,linear_esn,33,0.0,100.0,15.467409818220874,368,
,linear_esn,34,0.0,100.0,15.467409818220874,368,
,linear_esn,35,0.0,100.0,15.467409818220874,368,
,linear_esn,36,0.0,100.0,15.467409818220874,368,
,linear_esn,37,0.0,100.0,15.467409818220874,368,
,linear_esn,38,0.0,100.0,15.467409818220874,368,
,linear_esn,39,0.0,100.0,15.467409818220874,368,
,linear_esn,40,0.0029784429812222957,100.0,15.467409818220874,368,
,random_token,0,0.0,100.0,0.0,368,
,random_token,1,0.0,100.0,0.0,368,
,random_token,2,0.0,100.0,0.0,368,
,random_token,3,0.0,100.0,0.0,368,
,random_token,4,0.0,100.0,0.0,368,
,random_token,5,0.0,100.0,0.0,368,
,random_token,6,0.0,100.0,0.0,368,
,random_token,7,0.0,100.0,0.0,368,
,random_token,8,0.0,100.0,0.0,368,
,random_token,9,0.0,100.0,0.0,368,
,random_token,10,0.0,100.0,0.0,368,
,random_token,11,0.0,100.0,0.0,368,
,random_token,12,0.0,100.0,0.0,368,
,random_token,13,0.0,100.0,0.0,368,
,random_token,14,0.0,100.0,0.0,368,
,random_token,15,0.0,100.0,0.0,368,
,random_token,16,0.0,100.0,0.0,368,
,random_token,17,0.0,100.0,0.0,368,
,random_token,18,0.0,100.0,0.0,368,
,random_token,19,0.0,100.0,0.0,368,
,random_token,20,0.0,100.0,0.0,368,
,random_token,21,0.0,100.0,0.0,368,
,random_token,22,0.0,100.0,0.0,368,
,random_token,23,0.0,100.0,0.0,368,
,random_token,24,0.0,100.0,0.0,368,
,random_token,25,0.0,100.0,0.0,368,
,random_token,26,0.0,100.0,0.0,368,
,random_token,27,0.0,100.0,0.0,368,
,random_token,28,0.0,100.0,0.0,368,
,random_token,29,0.0,100.0,0.0,368,
,random_token,30,0.0,100.0,0.0,368,
,random_token,31,0.0,100.0,0.0,368,
,random_token,32,0.0,100.0,0.0,368,
,random_token,33,0.0,100.0,0.0,368,
,random_token,34,0.0,100.0,0.0,368,
,random_token,35,0.0,100.0,0.0,368,
,random_token,36,0.0,100.0,0.0,368,
,random_token,37,0.0,100.0,0.0,368,
,random_token,38,0.0,100.0,0.0,368,
,random_token,39,0.0,100.0,0.0,368,
,random_token,40,0.0,100.0,0.0,368,
