pair,init_seed,noise_seed,perturb_site,final_hamming,peak_hamming,time_to_peak,short_lam,late_damage,sustained_zero,sync_time,model,model_tag,arch,window,temp,L,steps,pairs,absorbing
7,35003,35011,2,48.0,48.0,30,0.41197960825054114,0.9877450980392157,0,,distilroberta-base,distilroberta-base,local,3,0.8,48,80,8,0
0,3,11,1,46.0,48.0,25,0.41197960825054114,0.9595588235294118,0,,distilroberta-base,distilroberta-base,local,3,1.0,48,80,8,0
1,5003,5011,8,42.0,47.0,48,0.37446653419424886,0.9031862745098039,0,,distilroberta-base,distilroberta-base,local,3,1.0,48,80,8,0
2,10003,10011,15,48.0,48.0,40,0.3919367769911437,0.9987745098039215,0,,distilroberta-base,distilroberta-base,local,3,1.0,48,80,8,0
3,15003,15011,22,46.0,48.0,32,0.3805653047154279,0.9362745098039215,0,,distilroberta-base,distilroberta-base,local,3,1.0,48,80,8,0
4,20003,20011,29,46.0,48.0,40,0.40726206725268527,0.9338235294117646,0,,distilroberta-base,distilroberta-base,local,3,1.0,48,80,8,0
5,25003,25011,36,46.0,48.0,31,0.42514967270776943,0.9705882352941176,0,,distilroberta-base,distilroberta-base,local,3,1.0,48,80,8,0
6,30003,30011,43,48.0,48.0,34,0.37446653419424886,1.0,0,,distilroberta-base,distilroberta-base,local,3,1.0,48,80,8,0
7,35003,35011,2,47.0,48.0,52,0.42091197874830927,0.9877450980392157,0,,distilroberta-base,distilroberta-base,local,3,1.0,48,80,8,0
0,3,11,1,42.0,46.0,29,0.40235947810852507,0.9093137254901961,0,,distilroberta-base,distilroberta-base,local,3,1.2,48,80,8,0
1,5003,5011,8,43.0,48.0,77,0.42091197874830927,0.9350490196078431,0,,distilroberta-base,distilroberta-base,local,3,1.2,48,80,8,0
2,10003,10011,15,46.0,48.0,36,0.36129646973702056,0.9191176470588235,0,,distilroberta-base,distilroberta-base,local,3,1.2,48,80,8,0
3,15003,15011,22,34.0,48.0,25,0.37446653419424886,0.8602941176470589,0,,distilroberta-base,distilroberta-base,local,3,1.2,48,80,8,0
4,20003,20011,29,48.0,48.0,67,0.3863803066697895,0.9681372549019608,0,,distilroberta-base,distilroberta-base,local,3,1.2,48,80,8,0
5,25003,25011,36,47.0,48.0,29,0.36805487239580503,0.9558823529411765,0,,distilroberta-base,distilroberta-base,local,3,1.2,48,80,8,0
6,30003,30011,43,47.0,47.0,79,0.31061333122350004,0.8382352941176471,0,,distilroberta-base,distilroberta-base,local,3,1.2,48,80,8,0
7,35003,35011,2,45.0,48.0,18,0.42091197874830927,0.9178921568627452,0,,distilroberta-base,distilroberta-base,local,3,1.2,48,80,8,0
0,3,11,1,45.0,47.0,78,0.40726206725268527,0.875,0,,distilroberta-base,distilroberta-base,local,3,1.4,48,80,8,0
1,5003,5011,8,45.0,48.0,31,0.37446653419424886,0.9276960784313726,0,,distilroberta-base,distilroberta-base,local,3,1.4,48,80,8,0
2,10003,10011,15,37.0,45.0,52,0.36805487239580503,0.8198529411764706,0,,distilroberta-base,distilroberta-base,local,3,1.4,48,80,8,0
3,15003,15011,22,39.0,45.0,30,0.3805653047154279,0.8308823529411765,0,,distilroberta-base,distilroberta-base,local,3,1.4,48,80,8,0
4,20003,20011,29,43.0,46.0,78,0.3972567287934932,0.8688725490196078,0,,distilroberta-base,distilroberta-base,local,3,1.4,48,80,8,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,3,1.4,48,80,8,0
6,30003,30011,43,38.0,44.0,76,0.37446653419424886,0.8137254901960785,0,,distilroberta-base,distilroberta-base,local,3,1.4,48,80,8,0
