pair,init_seed,noise_seed,perturb_site,final_hamming,peak_hamming,time_to_peak,short_lam,late_damage,sustained_zero,sync_time,model,model_tag,arch,window,temp,L,steps,pairs,absorbing
0,3,11,1,47.0,47.0,79,0.4292484005606433,0.8811274509803922,0,,distilroberta-base,distilroberta-base,local,6,1.4,48,80,8,0
1,5003,5011,8,43.0,48.0,34,0.4546982699657982,0.9350490196078431,0,,distilroberta-base,distilroberta-base,local,6,1.4,48,80,8,0
2,10003,10011,15,41.0,46.0,40,0.44793986730701374,0.8308823529411765,0,,distilroberta-base,distilroberta-base,local,6,1.4,48,80,8,0
3,15003,15011,22,36.0,47.0,55,0.42091197874830927,0.8651960784313726,0,,distilroberta-base,distilroberta-base,local,6,1.4,48,80,8,0
4,20003,20011,29,47.0,48.0,51,0.45136473908052804,0.9840686274509803,0,,distilroberta-base,distilroberta-base,local,6,1.4,48,80,8,0
5,25003,25011,36,45.0,47.0,49,0.3919367769911437,0.892156862745098,0,,distilroberta-base,distilroberta-base,local,6,1.4,48,80,8,0
6,30003,30011,43,45.0,48.0,64,0.41197960825054114,0.9693627450980392,0,,distilroberta-base,distilroberta-base,local,6,1.4,48,80,8,0
7,35003,35011,2,46.0,48.0,54,0.4292484005606433,0.9252450980392157,0,,distilroberta-base,distilroberta-base,local,6,1.4,48,80,8,0
0,3,11,1,36.0,47.0,13,0.46720870228542105,0.829656862745098,0,,distilroberta-base,distilroberta-base,local,8,0.6,48,80,8,0
1,5003,5011,8,48.0,48.0,7,0.5530287158439845,1.0,0,,distilroberta-base,distilroberta-base,local,8,0.6,48,80,8,0
2,10003,10011,15,48.0,48.0,9,0.47583281122128995,1.0,0,,distilroberta-base,distilroberta-base,local,8,0.6,48,80,8,0
3,15003,15011,22,24.0,39.0,5,0.7327123292259292,0.4889705882352941,0,,distilroberta-base,distilroberta-base,local,8,0.6,48,80,8,0
4,20003,20011,29,48.0,48.0,10,0.4785801745611369,1.0,0,,distilroberta-base,distilroberta-base,local,8,0.6,48,80,8,0
5,25003,25011,36,48.0,48.0,13,0.4579452057662058,1.0,0,,distilroberta-base,distilroberta-base,local,8,0.6,48,80,8,0
6,30003,30011,43,48.0,48.0,11,0.4812684502137573,1.0,0,,distilroberta-base,distilroberta-base,local,8,0.6,48,80,8,0
7,35003,35011,2,48.0,48.0,7,0.5530287158439845,1.0,0,,distilroberta-base,distilroberta-base,local,8,0.6,48,80,8,0
0,3,11,1,48.0,48.0,15,0.4785801745611369,1.0,0,,distilroberta-base,distilroberta-base,local,8,0.8,48,80,8,0
1,5003,5011,8,48.0,48.0,13,0.42514967270776943,1.0,0,,distilroberta-base,distilroberta-base,local,8,0.8,48,80,8,0
2,10003,10011,15,48.0,48.0,13,0.4730237042397826,1.0,0,,distilroberta-base,distilroberta-base,local,8,0.8,48,80,8,0
3,15003,15011,22,48.0,48.0,7,0.5530287158439845,1.0,0,,distilroberta-base,distilroberta-base,local,8,0.8,48,80,8,0
4,20003,20011,29,48.0,48.0,14,0.4812684502137573,1.0,0,,distilroberta-base,distilroberta-base,local,8,0.8,48,80,8,0
5,25003,25011,36,48.0,48.0,18,0.4730237042397826,0.9938725490196078,0,,distilroberta-base,distilroberta-base,local,8,0.8,48,80,8,0
6,30003,30011,43,48.0,48.0,19,0.46720870228542105,1.0,0,,distilroberta-base,distilroberta-base,local,8,0.8,48,80,8,0
7,35003,35011,2,48.0,48.0,8,0.4839001263634864,1.0,0,,distilroberta-base,distilroberta-base,local,8,0.8,48,80,8,0
0,3,11,1,48.0,48.0,21,0.4701500144616953,1.0,0,,distilroberta-base,distilroberta-base,local,8,1.0,48,80,8,0
1,5003,5011,8,48.0,48.0,10,0.4641965083380385,1.0,0,,distilroberta-base,distilroberta-base,local,8,1.0,48,80,8,0
2,10003,10011,15,48.0,48.0,11,0.47583281122128995,1.0,0,,distilroberta-base,distilroberta-base,local,8,1.0,48,80,8,0
3,15003,15011,22,48.0,48.0,11,0.47583281122128995,1.0,0,,distilroberta-base,distilroberta-base,local,8,1.0,48,80,8,0
4,20003,20011,29,48.0,48.0,22,0.4730237042397826,1.0,0,,distilroberta-base,distilroberta-base,local,8,1.0,48,80,8,0
5,25003,25011,36,48.0,48.0,10,0.47583281122128995,1.0,0,,distilroberta-base,distilroberta-base,local,8,1.0,48,80,8,0
6,30003,30011,43,48.0,48.0,11,0.4641965083380385,0.9522058823529411,0,,distilroberta-base,distilroberta-base,local,8,1.0,48,80,8,0
7,35003,35011,2,0.0,42.0,5,0.7475339236566737,0.0,1,17,distilroberta-base,distilroberta-base,local,8,1.0,48,80,8,0
0,3,11,1,47.0,48.0,28,0.47583281122128995,0.9950980392156863,0,,distilroberta-base,distilroberta-base,local,8,1.2,48,80,8,0
1,5003,5011,8,48.0,48.0,15,0.4579452057662058,1.0,0,,distilroberta-base,distilroberta-base,local,8,1.2,48,80,8,0
2,10003,10011,15,46.0,48.0,18,0.4579452057662058,0.9154411764705882,0,,distilroberta-base,distilroberta-base,local,8,1.2,48,80,8,0
3,15003,15011,22,48.0,48.0,23,0.4407950655770202,0.9975490196078431,0,,distilroberta-base,distilroberta-base,local,8,1.2,48,80,8,0
4,20003,20011,29,48.0,48.0,24,0.4641965083380385,0.9975490196078431,0,,distilroberta-base,distilroberta-base,local,8,1.2,48,80,8,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,8,1.2,48,80,8,0
6,30003,30011,43,44.0,48.0,37,0.4444185076861767,0.9632352941176471,0,,distilroberta-base,distilroberta-base,local,8,1.2,48,80,8,0
7,35003,35011,2,32.0,41.0,11,0.4444185076861767,0.6384803921568628,0,,distilroberta-base,distilroberta-base,local,8,1.2,48,80,8,0
0,3,11,1,48.0,48.0,22,0.3919367769911437,0.9975490196078431,0,,distilroberta-base,distilroberta-base,local,8,1.4,48,80,8,0
1,5003,5011,8,46.0,48.0,77,0.4407950655770202,0.926470588235294,0,,distilroberta-base,distilroberta-base,local,8,1.4,48,80,8,0
2,10003,10011,15,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,8,1.4,48,80,8,0
3,15003,15011,22,48.0,48.0,23,0.4444185076861767,0.9987745098039215,0,,distilroberta-base,distilroberta-base,local,8,1.4,48,80,8,0
4,20003,20011,29,48.0,48.0,67,0.4579452057662058,0.9914215686274509,0,,distilroberta-base,distilroberta-base,local,8,1.4,48,80,8,0
5,25003,25011,36,40.0,45.0,42,0.41197960825054114,0.875,0,,distilroberta-base,distilroberta-base,local,8,1.4,48,80,8,0
6,30003,30011,43,45.0,48.0,66,0.43706344518331003,0.9705882352941176,0,,distilroberta-base,distilroberta-base,local,8,1.4,48,80,8,0
7,35003,35011,2,48.0,48.0,36,0.4546982699657982,0.9669117647058824,0,,distilroberta-base,distilroberta-base,local,8,1.4,48,80,8,0
