model,model_tag,arch,window,temp,pair,generation,hamming
distilroberta-base,distilroberta-base,local,1,0.6,2,71,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,72,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,73,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,74,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,75,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,76,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,77,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,78,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,79,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,80,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,0,1.0
distilroberta-base,distilroberta-base,local,1,0.6,3,1,1.0
distilroberta-base,distilroberta-base,local,1,0.6,3,2,1.0
distilroberta-base,distilroberta-base,local,1,0.6,3,3,1.0
distilroberta-base,distilroberta-base,local,1,0.6,3,4,2.0
distilroberta-base,distilroberta-base,local,1,0.6,3,5,1.0
distilroberta-base,distilroberta-base,local,1,0.6,3,6,2.0
distilroberta-base,distilroberta-base,local,1,0.6,3,7,1.0
distilroberta-base,distilroberta-base,local,1,0.6,3,8,2.0
distilroberta-base,distilroberta-base,local,1,0.6,3,9,1.0
distilroberta-base,distilroberta-base,local,1,0.6,3,10,2.0
distilroberta-base,distilroberta-base,local,1,0.6,3,11,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,12,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,13,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,14,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,15,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,16,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,17,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,18,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,19,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,20,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,21,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,22,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,23,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,24,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,25,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,26,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,27,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,28,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,29,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,30,0.0
distilroberta-base,distilroberta-base,local,1,0.6,3,31,0.0
